Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_ID,Sample Name,Sheep_ID,SRA Study,visit_sheep_foot
SRR12486699,AMPLICON,495,70885913,PRJNA658364,SAMN15867681,Metagenome or environmental,34652821,UNIVERSITY OF LIVERPOOL,not collected,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",CODD,SRX8978569,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,160-B66,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-160-B66,Sample-160-B66,BIOP,SRP278242,B21-3-BIOP
SRR12486700,AMPLICON,493,56740268,PRJNA658364,SAMN15867680,Metagenome or environmental,27802806,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",CODD,SRX8978568,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,159-B65,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-159-B65,Sample-159-B65,BIOP,SRP278242,B19-3-BIOP
SRR12486701,AMPLICON,495,62783472,PRJNA658364,SAMN15867679,Metagenome or environmental,31312946,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",CODD,SRX8978567,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,158-B64,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:25:00Z,1,Sample-158-B64,Sample-158-B64,BIOP,SRP278242,B16-2-BIOP
SRR12486702,AMPLICON,495,41354439,PRJNA658364,SAMN15867546,Metagenome or environmental,19990046,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",B_HEALTHY,SRX8978566,United Kingdom,Europe,United Kingdom: Cheshire,Ovis aries,Illumina MiSeq,Foot,51.244399 N 2.12202 W,107-B13,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-107-B13,Sample-107-B13,8,SRP278242,23-8-F3
SRR12486703,AMPLICON,493,575002,PRJNA658364,SAMN15867678,Metagenome or environmental,360751,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",CODD,SRX8978565,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,157-B63,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-157-B63,Sample-157-B63,BIOP,SRP278242,B9-2-BIOP
SRR12486704,AMPLICON,494,978132,PRJNA658364,SAMN15867677,Metagenome or environmental,554410,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",CODD,SRX8978564,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,156-B62,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-156-B62,Sample-156-B62,BIOP,SRP278242,B11-2-BIOP
SRR12486705,AMPLICON,495,57494921,PRJNA658364,SAMN15867676,Metagenome or environmental,28849166,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",CODD,SRX8978563,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,155-B61,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-155-B61,Sample-155-B61,BIOP,SRP278242,B13-2-BIOP
SRR12486706,AMPLICON,493,58588914,PRJNA658364,SAMN15867675,Metagenome or environmental,29292730,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",CODD,SRX8978562,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,154-B60,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-154-B60,Sample-154-B60,BIOP,SRP278242,B14-2-BIOP
SRR12486707,AMPLICON,494,43736547,PRJNA658364,SAMN15867674,Metagenome or environmental,21648832,UNIVERSITY OF LIVERPOOL,not collected,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",CODD,SRX8978561,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,153-B59,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-153-B59,Sample-153-B59,BIOP,SRP278242,B12-2-BIOP
SRR12486708,AMPLICON,495,59964800,PRJNA658364,SAMN15867673,Metagenome or environmental,28570493,UNIVERSITY OF LIVERPOOL,not collected,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",CODD,SRX8978560,United Kingdom,Europe,United Kingdom: Wales,Ovis aries,Illumina MiSeq,Foot,not collected,152-B58,PAIRED,PCR,METAGENOMIC,metagenome,ILLUMINA,2021-12-31T00:00:00Z,2020-08-20T16:24:00Z,1,Sample-152-B58,Sample-152-B58,BIOP,SRP278242,B10-2-BIOP
